Area,Bedrooms,Bathrooms,Age,Garage,Pool,Location_Score,Price
2969.6607676729614,5,1,14,1,1,5.286667056905787,301313.4215295304
3718.3521486758877,1,4,58,1,1,8.860332334920372,302543.09362784267
3212.4351923223976,4,1,75,0,1,7.430117894038233,270283.9937839957
2951.9743234860357,5,2,75,1,1,5.393206608964286,285545.60935551004
2406.4465970250712,2,2,75,1,1,8.876144013733128,240607.5038671171
3406.5235087999527,3,3,13,0,0,1.754107851460709,260907.41219773638
2469.1424506821163,3,4,70,1,1,6.313381726992762,286086.09420005593
4512.978503519359,1,4,81,0,1,4.4566202605468,316407.4608802037
4836.482422254632,2,3,44,1,0,3.6360250753357475,345982.8040559323
2225.486834716,4,1,84,0,1,8.687836434707283,237751.43476764357
4062.7626713719906,3,4,19,1,1,6.653651393406697,370272.8442697045
2880.02713888807,1,3,71,1,0,8.938132673059046,246329.8057936963
3056.2005249226954,5,2,91,0,1,3.538026186395954,295384.1629113259
4665.184872316975,4,1,7,0,1,5.933994260422503,379720.6727385693
819.6622618904912,3,1,3,0,0,9.681845756009565,165783.598435541
892.0818486569332,5,3,30,1,0,4.486885342346045,219310.7947549449
590.9827884814657,5,1,67,0,0,2.3647294249174853,140708.86801203192
4246.789304965721,1,2,54,0,0,9.66497195834062,300455.0495384118
4001.7053792743272,5,2,3,1,1,9.767349275659047,397552.6798059478
4415.054667110686,4,2,19,0,1,2.863920662155375,354804.0033107462
4903.782540047438,5,2,24,0,1,7.933852536272298,418782.6166245702
4096.213538975257,3,4,8,0,0,5.5403053492483805,351450.5722257668
2576.657130138193,4,3,20,1,0,5.868779093728043,301484.6973886936
4012.3812932890496,4,3,93,0,1,6.326174091957704,331545.3406491411
1032.2349164101995,1,3,70,1,1,7.573980962164436,151382.6001492588
3379.644595973857,1,3,70,0,1,6.948979318736838,258904.9357969248
1145.0897933407089,1,2,51,0,0,7.606843187123883,110408.31926418227
4751.0101267231275,2,1,58,1,0,6.7107609942129365,320512.76610008045
2848.3174478753226,2,1,100,1,0,7.063719515316193,232789.8009225342
2365.9787299573563,1,1,32,0,1,2.698732827154269,152715.76346150506
1690.5002544708213,5,3,4,1,1,1.7729617026628555,265966.5074482255
3984.051602453975,5,1,18,0,0,7.532956132526116,348608.1251929918
2552.6764949744684,4,1,47,0,0,2.016486585051853,223488.198338618
3057.952769908918,5,1,74,1,0,4.385106134248375,296564.3522451882
584.5541019635981,5,1,10,0,1,3.6219581074848892,162568.0965618246
3279.3597368414466,3,2,70,1,0,9.115008953442572,265979.5673843733
3254.430752250896,4,4,35,1,1,7.78154223250737,327315.7092839299
3276.202985936406,1,1,33,0,1,6.065941441646055,244279.7594198143
4746.866353315809,1,1,96,1,0,7.126508775651291,290639.8827559709
3568.1913459656753,5,4,97,0,1,5.145530130415725,351732.66816316225
2117.785552582037,1,2,26,0,1,1.696944146957271,149845.26139661745
2466.6437920970366,1,1,84,0,0,6.147804021795957,158834.63446572778
3639.340381672692,5,3,32,1,0,2.2100540663121566,324203.39148077363
771.0146223317142,5,3,52,1,0,5.490969784314316,213286.01844395927
3500.4502195055047,1,2,8,0,0,1.8790465908267788,229356.47488395724
3517.8704132817174,3,2,53,0,0,5.595306032083108,283200.4203496599
1446.721524832284,4,1,87,0,1,9.822993455004667,196171.78164865403
1080.16833944684,3,1,16,1,0,2.4797351807178805,133702.7656422286
1919.4275791588275,5,4,51,1,1,8.655826341252563,308320.6879277789
2136.698469241802,4,3,49,1,1,3.377770217488776,236440.93008454444
3065.8854668804584,3,4,37,1,1,6.353315160240166,319841.641864824
2473.7068105804415,2,2,91,0,1,7.836692020205037,188558.8001977701
4947.682271266518,3,3,39,0,0,8.865919052021395,388133.99107283074
959.2016483661264,1,3,99,0,0,8.598860345869241,125833.88567061939
1439.9454024267561,1,1,25,0,0,2.042994373153033,110512.11460992736
1225.892830482483,1,1,95,1,0,9.667317889563584,133535.0302846872
3438.9874645942928,5,1,2,1,0,7.190654417222335,332333.2781798313
1639.8122114290195,1,4,42,1,0,1.8090468937101012,176722.20339446142
2598.398477853378,4,4,89,0,0,3.519258192294221,271626.65823330294
1599.9151640072123,3,1,92,0,0,3.027712079644963,143296.10456935217
1215.3631264048386,3,2,44,1,0,8.422236324998185,200076.04437222573
996.6881352393731,5,1,17,1,1,8.131436532895847,236124.3840424771
